,postid,DateTime,timestamp,username,entity_type,PostLevel,stcode11,dtcode11,post_description,feed_pictures,feed_video,feed_news,feed_documents,experience_rating,priority,tot_agreed,tot_disagreed,Language,lat,lng,pinned,tot_comments,entity_name,entity_id,uid,profile_picture,stname,dtname,Title,tsv,title_post_text,translation,lang,preprocessed_text,ngrams,score_keywords,cosine_sim,final_score,classifier
32,4.38754E+18,,1.60441E+12,Jaano Chandigarh,0,State,4,-1,"Factual position in respect to service charges levied by banks 

No service charge is applicable on 60.04 crore BSBD accounts, including 41.13 crore Jan Dhan.

Read: https://t.co/y5B0sqHFRh
(Posted on Twitter by @ROBChandigarh)",{},,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Chandigarh,,,"'/y5b0sqhfrh':29A '41.13':22A '60.04':17A 'accounts':20A 'applicable':15A 'banks':10A 'bsbd':19A 'by':9A,33A 'chandigarh':36C 'charge':13A 'charges':7A 'crore':18A,23A 'dhan':25A 'factual':1A 'in':3A 'including':21A 'is':14A 'jaano':35C 'jan':24A 'levied':8A 'no':11A 'on':16A,31A 'position':2A 'posted':30A 'read':26A 'respect':4A 'robchandigarh':34A 'service':6A,12A 't.co':28A 't.co/y5b0sqhfrh':27A 'to':5A 'twitter':32A"," Factual position in respect to service charges levied by banks   No service charge is applicable on 60.04 crore BSBD accounts, including 41.13 crore Jan Dhan.  Read:  ()","Factual position in respect to service charges levied by banks   No service charge is applicable on 60.04 crore BSBD accounts, including 41.13 crore Jan Dhan.  Read:  ()",en,"['f', 'factual', 'position', 'in', 'respect', 'to', 'service', 'charges', 'levied', 'by', 'banks', 'no', 'charge', 'is', 'applicable', 'on', 'crore', 'bsbd', 'accounts', 'including', 'jan', 'dhan', 'read']","['respect', 'applicable', 'banks', 'service charges levied', 'service charge', 'factual position']",1,0.576014517,0.576014517,business and accounts
33,1.6399E+18,,1.60441E+12,Jaano Chandigarh,0,State,4,-1,"Tele-Law touches a new milestone; 4 Lakh beneficiaries received legal advice under the initiative through CSC

2.05 lakh advices have been enabled during the first seven months of FY-20-21 as against total 1.95 lakh advices given till April 2020

Read: https://t.co/8ttNx3HbKm
(Posted on Twitter by @ROBChandigarh)",{},,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Chandigarh,,,"'-20':32A '-21':33A '/8ttnx3hbkm':47A '1.95':37A '2.05':19A '2020':43A '4':8A 'a':5A 'advice':13A 'advices':21A,39A 'against':35A 'april':42A 'as':34A 'been':23A 'beneficiaries':10A 'by':51A 'chandigarh':54C 'csc':18A 'during':25A 'enabled':24A 'first':27A 'fy':31A 'given':40A 'have':22A 'initiative':16A 'jaano':53C 'lakh':9A,20A,38A 'law':3A 'legal':12A 'milestone':7A 'months':29A 'new':6A 'of':30A 'on':49A 'posted':48A 'read':44A 'received':11A 'robchandigarh':52A 'seven':28A 't.co':46A 't.co/8ttnx3hbkm':45A 'tele':2A 'tele-law':1A 'the':15A,26A 'through':17A 'till':41A 'total':36A 'touches':4A 'twitter':50A 'under':14A", Tele-Law touches a new milestone; 4 Lakh beneficiaries received legal advice under the initiative through CSC  2.05 lakh advices have been enabled during the first seven months of FY-20-21 as against total 1.95 lakh advices given till April 2020  Read:  (),Tele-Law touches a new milestone; 4 Lakh beneficiaries received legal advice under the initiative through CSC  2.05 lakh advices have been enabled during the first seven months of FY-20-21 as against total 1.95 lakh advices given till April 2020  Read:  (),en,"['t', 'telelaw', 'touches', 'a', 'new', 'milestone', 'lakh', 'beneficiaries', 'received', 'legal', 'advice', 'under', 'the', 'initiative', 'through', 'csc', 'advices', 'have', 'been', 'enabled', 'during', 'first', 'seven', 'months', 'of', 'fy', 'as', 'against', 'total', 'given', 'till', 'april', 'read']","['initiative', 'csc lakh advices', 'first seven months', 'tele law touches', 'enabled', 'fy']",1,0.496583481,0.496583481,government works
34,3.49555E+18,,1.60441E+12,Jaano Chandigarh,0,State,4,-1,"All India Institute of Ayurveda (AIIA) is organizing a webinar on 5th November 2020 in association with Western Sydney University on the theme “Yoga and Ayurveda Medicine for Mental Wellness”.

Read here: https://t.co/vDutPRAleS
(Posted on Twitter by @ROBChandigarh)",{},,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Chandigarh,,,"'/vdutprales':35A '2020':14A '5th':12A 'a':9A 'aiia':6A 'all':1A 'and':25A 'association':16A 'ayurveda':5A,26A 'by':39A 'chandigarh':42C 'for':28A 'here':32A 'in':15A 'india':2A 'institute':3A 'is':7A 'jaano':41C 'medicine':27A 'mental':29A 'november':13A 'of':4A 'on':11A,21A,37A 'organizing':8A 'posted':36A 'read':31A 'robchandigarh':40A 'sydney':19A 't.co':34A 't.co/vdutprales':33A 'the':22A 'theme':23A 'twitter':38A 'university':20A 'webinar':10A 'wellness':30A 'western':18A 'with':17A 'yoga':24A", All India Institute of Ayurveda (AIIA) is organizing a webinar on 5th November 2020 in association with Western Sydney University on the theme “Yoga and Ayurveda Medicine for Mental Wellness”.  Read here:  (),All India Institute of Ayurveda (AIIA) is organizing a webinar on 5th November 2020 in association with Western Sydney University on the theme “Yoga and Ayurveda Medicine for Mental Wellness”.  Read here:  (),en,"['a', 'all', 'india', 'institute', 'of', 'ayurveda', 'aiia', 'is', 'organizing', 'webinar', 'on', 'th', 'november', 'in', 'association', 'with', 'western', 'sydney', 'university', 'the', 'theme', '“yoga', 'and', 'medicine', 'for', 'mental', 'wellness”', 'read', 'here']","['association', 'theme yoga', 'india institute', 'organizing', 'ayurveda medicine', 'th november', 'western sydney university', 'ayurveda aiia', 'webinar', 'mental wellness read']",1,0.421354023,0.421354023,healthcare and medicine
35,7.49257E+17,,1.60441E+12,Jaano Chandigarh,0,State,4,-1,"Major highlights 👇

✅Recovered cases cross 76 lakhs 

✅More than 11 crore tests conducted

✅Recovery rate reaches approx. 92%

Cumulative, weekly & daily positivity rates are 7.4%, 4.4% and 3.7% respectively: Secretary, @MoHFW_INDIA https://t.co/2EgmVETfoi
(Posted on Twitter by @ROBChandigarh)",{},,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Chandigarh,,,'/2egmvetfoi':35A '11':10A '3.7':28A '4.4':26A '7.4':25A '76':6A '92':18A 'and':27A 'approx':17A 'are':24A 'by':39A 'cases':4A 'chandigarh':42C 'conducted':13A 'crore':11A 'cross':5A 'cumulative':19A 'daily':21A 'highlights':2A 'india':32A 'jaano':41C 'lakhs':7A 'major':1A 'mohfw':31A 'more':8A 'on':37A 'positivity':22A 'posted':36A 'rate':15A 'rates':23A 'reaches':16A 'recovered':3A 'recovery':14A 'respectively':29A 'robchandigarh':40A 'secretary':30A 't.co':34A 't.co/2egmvetfoi':33A 'tests':12A 'than':9A 'twitter':38A 'weekly':20A," Major highlights 👇  ✅Recovered cases cross 76 lakhs   ✅More than 11 crore tests conducted  ✅Recovery rate reaches approx. 92%  Cumulative, weekly & daily positivity rates are 7.4%, 4.4% and 3.7% respectively: Secretary, @MoHFW_INDIA  ()","Major highlights 👇  ✅Recovered cases cross 76 lakhs   ✅More than 11 crore tests conducted  ✅Recovery rate reaches approx. 92%  Cumulative, weekly & daily positivity rates are 7.4%, 4.4% and 3.7% respectively: Secretary, @MoHFW_INDIA  ()",en,"['m', 'major', 'highlights', '👇', '✅recovered', 'cases', 'cross', 'lakhs', '✅more', 'than', 'crore', 'tests', 'conducted', '✅recovery', 'rate', 'reaches', 'approx', 'cumulative', 'weekly', 'daily', 'positivity', 'rates', 'are', 'and', 'respectively', 'secretary', 'mohfwindia']","['moh', 'major highlights recovered cases cross lakhs', 'respectively secretary', 'fw']",1,0.463920914,0.463920914,government works
36,2.61359E+18,,1.60441E+12,Jaano Assam,0,State,18,-1,"#COVID19Update 

Read PIB's Daily Bulletin here👇

https://t.co/uzUaQjLaxu

@PIB_India @MIB_India @CMOfficeAssam @ddnews_guwahati @airnews_ghy @diprassam 
(Posted on Twitter by @PIB_Guwahati)",{https://pbs.twimg.com/media/El5ocCTU8AIBzIm.png},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Assam,,,"'/uzuaqjlaxu':10A 'airnews':18A 'assam':28C 'bulletin':6A 'by':24A 'cmofficeassam':15A 'covid19update':1A 'daily':5A 'ddnews':16A 'diprassam':20A 'ghy':19A 'guwahati':17A,26A 'here':7A 'india':12A,14A 'jaano':27C 'mib':13A 'on':22A 'pib':3A,11A,25A 'posted':21A 'read':2A 's':4A 't.co':9A 't.co/uzuaqjlaxu':8A 'twitter':23A", #COVID19Update   Read PIB's Daily Bulletin here👇    @PIB_India @MIB_India @CMOfficeAssam @ddnews_guwahati @airnews_ghy @diprassam  (),#COVID19Update   Read PIB's Daily Bulletin here👇    @PIB_India @MIB_India @CMOfficeAssam @ddnews_guwahati @airnews_ghy @diprassam  (),en,"['covidupdate', 'read', 'pibs', 'daily', 'bulletin', 'here👇', 'pibindia', 'mibindia', 'cmofficeassam', 'ddnewsguwahati', 'airnewsghy', 'diprassam']","['assam', 'cm', 'dip', 'office', 'mib', 'dd', 'pib', 'daily bulletin', 'news', 'air', 'covid update read pib']",1,0.350218521,0.350218521,computer phone internet
37,4.46924E+18,,1.60441E+12,Jaano Maharashtra,0,State,27,-1,"Shri Bhishma Aggarwal, alumni of #IITKharagpur has invented a mask with a fan that operates through a battery and provides relief to the user during pollution. Watch to know more about his innovation. #AatmaNirbharBharat

VC @mygovindia 
(Posted on Twitter by @micnewdelhi)",{},https://video.twimg.com/amplify_video/1323608592755302401/vid/1560x720/VTCItzElfi4wmjR6.mp4?tag=13,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Maharashtra,,,"'a':9A,12A,17A 'aatmanirbharbharat':34A 'about':31A 'aggarwal':3A 'alumni':4A 'and':19A 'battery':18A 'bhishma':2A 'by':40A 'during':25A 'fan':13A 'has':7A 'his':32A 'iitkharagpur':6A 'innovation':33A 'invented':8A 'jaano':42C 'know':29A 'maharashtra':43C 'mask':10A 'micnewdelhi':41A 'more':30A 'mygovindia':36A 'of':5A 'on':38A 'operates':15A 'pollution':26A 'posted':37A 'provides':20A 'relief':21A 'shri':1A 'that':14A 'the':23A 'through':16A 'to':22A,28A 'twitter':39A 'user':24A 'vc':35A 'watch':27A 'with':11A"," Shri Bhishma Aggarwal, alumni of #IITKharagpur has invented a mask with a fan that operates through a battery and provides relief to the user during pollution. Watch to know more about his innovation. #AatmaNirbharBharat  VC @mygovindia  ()","Shri Bhishma Aggarwal, alumni of #IITKharagpur has invented a mask with a fan that operates through a battery and provides relief to the user during pollution. Watch to know more about his innovation. #AatmaNirbharBharat  VC @mygovindia  ()",en,"['s', 'shri', 'bhishma', 'aggarwal', 'alumni', 'of', 'iitkharagpur', 'has', 'invented', 'a', 'mask', 'with', 'fan', 'that', 'operates', 'through', 'battery', 'and', 'provides', 'relief', 'to', 'the', 'user', 'during', 'pollution', 'watch', 'know', 'more', 'about', 'his', 'innovation', 'aatmanirbharbharat', 'vc', 'mygovindia']","['innovation vc', 'user', 'irb', 'gov', 'iit', 'operates', 'shri bhishma aggarwal alumni ofhas invented', 'provides relief', 'pollution watch', 'man', 'har', 'my', 'battery', 'aat', 'mask', 'fan', 'bharat', 'kharagpur', 'india', 'know']",1,0.430746143,0.430746143,government works
38,1.7216E+18,,1.60441E+12,Jaano Assam,0,State,18,-1,"✅Day 2 of Commercial Coal Mine Auction – Euphoria Continues

Details: https://t.co/SFm4jpeggr

@CoalMinistry @PIB_India @MIB_India 
(Posted on Twitter by @PIB_Guwahati)",{https://pbs.twimg.com/media/El5oHd5VMAABRBA.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Assam,,,"'/sfm4jpeggr':13A '2':2A 'assam':26C 'auction':7A 'by':22A 'coal':5A 'coalministry':14A 'commercial':4A 'continues':9A 'day':1A 'details':10A 'euphoria':8A 'guwahati':24A 'india':16A,18A 'jaano':25C 'mib':17A 'mine':6A 'of':3A 'on':20A 'pib':15A,23A 'posted':19A 't.co':12A 't.co/sfm4jpeggr':11A 'twitter':21A", ✅Day 2 of Commercial Coal Mine Auction – Euphoria Continues  Details:   @CoalMinistry @PIB_India @MIB_India  (),✅Day 2 of Commercial Coal Mine Auction – Euphoria Continues  Details:   @CoalMinistry @PIB_India @MIB_India  (),en,"['✅', '✅day', 'of', 'commercial', 'coal', 'mine', 'auction', '–', 'euphoria', 'continues', 'details', 'coalministry', 'pibindia', 'mibindia']","['ministry', 'day', 'coal', 'mib', 'pib']",1,0.246593318,0.246593318,government works
39,3.38578E+18,,1.60441E+12,Swaniti,0,India,-1,-1,National Medical Commission notifies ‘Minimum Requirements for Annual MBBS Admissions Regulation 2020’ heralding a new Era of Medical Education. Take a look.,"{https://jaano2admin.s3.ap-south-1.amazonaws.com/El4d4MqUcAEa8bU.jpg,https://jaano2admin.s3.ap-south-1.amazonaws.com/El4d4MpU0AY_-rf.jpg,https://jaano2admin.s3.ap-south-1.amazonaws.com/El4d4MrVoAAE1GJ.jpg}",NaN,NaN,{},-1,,1,0,en,NaN,NaN,,,,,,,,,Heralding a new Era of Medical Education,"'2020':12A 'a':14A,21A,24B 'admissions':10A 'annual':8A 'commission':3A 'education':19A,29B 'era':16A,26B 'for':7A 'heralding':13A,23B 'look':22A 'mbbs':9A 'medical':2A,18A,28B 'minimum':5A 'national':1A 'new':15A,25B 'notifies':4A 'of':17A,27B 'regulation':11A 'requirements':6A 'swaniti':30C 'take':20A",Heralding a new Era of Medical Education National Medical Commission notifies ‘Minimum Requirements for Annual MBBS Admissions Regulation 2020’ heralding a new Era of Medical Education. Take a look.,Heralding a new Era of Medical Education National Medical Commission notifies ‘Minimum Requirements for Annual MBBS Admissions Regulation 2020’ heralding a new Era of Medical Education. Take a look.,en,"['h', 'heralding', 'a', 'new', 'era', 'of', 'medical', 'education', 'national', 'commission', 'notifies', '‘minimum', 'requirements', 'for', 'annual', 'mbbs', 'admissions', 'regulation', '’', 'take', 'look']","['heralding', 'medical education take', 'annual mbbs admissions regulation heralding', 'look', 'new era']",1,0.494161295,0.494161295,healthcare and medicine
40,3.58643E+18,,1.60441E+12,Jaano Assam,0,State,18,-1,"Shri @DVSadanandGowda holds a review meeting of Pradhan Mantri Bhartiya Janaushdhi Pariyojana

Pharma products worth Rs 358 crore sold through Jan Aushadhi stores during first seven months of this fiscal (up to Oct 31st)

Details: https://t.co/0UYGhcHzYS

@dcpc2017 @fertmin_india 
(Posted on Twitter by @PIB_Guwahati)","{https://pbs.twimg.com/media/El5m1F6VgAIDU6C.jpg,https://pbs.twimg.com/media/El5m2wmUYAAmiiR.jpg}",NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Assam,,,"'/0uyghchzys':38A '31st':34A '358':17A 'a':4A 'assam':49C 'aushadhi':22A 'bhartiya':10A 'by':45A 'crore':18A 'dcpc2017':39A 'details':35A 'during':24A 'dvsadanandgowda':2A 'fertmin':40A 'first':25A 'fiscal':30A 'guwahati':47A 'holds':3A 'india':41A 'jaano':48C 'jan':21A 'janaushdhi':11A 'mantri':9A 'meeting':6A 'months':27A 'oct':33A 'of':7A,28A 'on':43A 'pariyojana':12A 'pharma':13A 'pib':46A 'posted':42A 'pradhan':8A 'products':14A 'review':5A 'rs':16A 'seven':26A 'shri':1A 'sold':19A 'stores':23A 't.co':37A 't.co/0uyghchzys':36A 'this':29A 'through':20A 'to':32A 'twitter':44A 'up':31A 'worth':15A", Shri @DVSadanandGowda holds a review meeting of Pradhan Mantri Bhartiya Janaushdhi Pariyojana  Pharma products worth Rs 358 crore sold through Jan Aushadhi stores during first seven months of this fiscal (up to Oct 31st)  Details:   @dcpc2017 @fertmin_india  (),Shri @DVSadanandGowda holds a review meeting of Pradhan Mantri Bhartiya Janaushdhi Pariyojana  Pharma products worth Rs 358 crore sold through Jan Aushadhi stores during first seven months of this fiscal (up to Oct 31st)  Details:   @dcpc2017 @fertmin_india  (),en,"['s', 'shri', 'dvsadanandgowda', 'holds', 'a', 'review', 'meeting', 'of', 'pradhan', 'mantri', 'bhartiya', 'janaushdhi', 'pariyojana', 'pharma', 'products', 'worth', 'rs', 'crore', 'sold', 'through', 'jan', 'aushadhi', 'stores', 'during', 'first', 'seven', 'months', 'this', 'fiscal', 'up', 'to', 'oct', 'st', 'details', 'dcpc', 'fertminindia']","['shri holds', 'ada', 'nand', 'dcp', 'wda', '2017', 'oct st details', 'go', 'fiscal', 'fer', 'dvs', 'jan aushadhi stores', 'first seven months', 'review meeting', 'min']",1,0.368973867,0.368973867,business and accounts
41,8.39073E+17,,1.60441E+12,Jaano Bihar,0,State,10,-1,"आज द्वितीय चरण के मतदान के क्रम में मतदान केंद्रों का निरीक्षण करते हुए जिला निर्वाचन पदाधिकारी सह जिला पदाधिकारी। जिला- पश्चिमी चंपारण।
#मास्क पहनकर बूथ चलेंगे, वोट करेंगे
#ElectionDepartmentBihar 
(Posted on Twitter by @CEOBihar)","{https://pbs.twimg.com/media/El5nKINUYAYCFd5.jpg,https://pbs.twimg.com/media/El5nKnmVkAE_MYR.jpg,https://pbs.twimg.com/media/El5nK8XVkAAXSXm.jpg,https://pbs.twimg.com/media/El5nLmnVkAAL84Q.jpg}",NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Bihar,,,"'bihar':37C 'by':34A 'ceobihar':35A 'electiondepartmentbihar':30A 'jaano':36C 'on':32A 'posted':31A 'twitter':33A 'आज':1A 'करते':13A 'करेंगे':29A 'का':11A 'के':4A,6A 'केंद्रों':10A 'क्रम':7A 'चंपारण':23A 'चरण':3A 'चलेंगे':27A 'जिला':15A,19A,21A 'द्वितीय':2A 'निरीक्षण':12A 'निर्वाचन':16A 'पदाधिकारी':17A,20A 'पश्चिमी':22A 'पहनकर':25A 'बूथ':26A 'मतदान':5A,9A 'मास्क':24A 'में':8A 'वोट':28A 'सह':18A 'हुए':14A"," आज द्वितीय चरण के मतदान के क्रम में मतदान केंद्रों का निरीक्षण करते हुए जिला निर्वाचन पदाधिकारी सह जिला पदाधिकारी। जिला- पश्चिमी चंपारण। #मास्क पहनकर बूथ चलेंगे, वोट करेंगे #ElectionDepartmentBihar  ()","Today, District Election Officer cum District Officer inspecting polling stations in the second phase of polling. District- Western Champaran. # Booths will be worn wearing masks, will vote #ElectionDepartmentBihar ()",hi,"['t', 'आज', 'द्वितीय', 'चरण', 'के', 'मतदान', 'क्रम', 'में', 'केंद्रों', 'का', 'निरीक्षण', 'करते', 'हुए', 'जिला', 'निर्वाचन', 'पदाधिकारी', 'सह', 'पदाधिकारी।', 'पश्चिमी', 'चंपारण।', 'मास्क', 'पहनकर', 'बूथ', 'चलेंगे', 'वोट', 'करेंगे', 'electiondepartmentbihar']","['second phase', 'bihar', 'polling district western champaran booths', 'department', 'election', 'worn wearing masks', 'vote']",1,0.500113815,0.500113815,government works
42,2.69445E+18,,1.60441E+12,Jaano Assam,0,State,18,-1,"PM @narendramodi to chair Virtual Global Investor Roundtable on 5th November

Top Pension and Sovereign Wealth Funds from across the world to participate in the Roundtable

Details: https://t.co/Dwsliuh1oX

@PMOIndia @PIB_India @MIB_India 
(Posted on Twitter by @PIB_Guwahati)",{https://pbs.twimg.com/media/El5meu2VkAAZI9-.png},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Assam,,,"'/dwsliuh1ox':30A '5th':10A 'across':19A 'and':14A 'assam':43C 'by':39A 'chair':4A 'details':27A 'from':18A 'funds':17A 'global':6A 'guwahati':41A 'in':24A 'india':33A,35A 'investor':7A 'jaano':42C 'mib':34A 'narendramodi':2A 'november':11A 'on':9A,37A 'participate':23A 'pension':13A 'pib':32A,40A 'pm':1A 'pmoindia':31A 'posted':36A 'roundtable':8A,26A 'sovereign':15A 't.co':29A 't.co/dwsliuh1ox':28A 'the':20A,25A 'to':3A,22A 'top':12A 'twitter':38A 'virtual':5A 'wealth':16A 'world':21A", PM @narendramodi to chair Virtual Global Investor Roundtable on 5th November  Top Pension and Sovereign Wealth Funds from across the world to participate in the Roundtable  Details:   @PMOIndia @PIB_India @MIB_India  (),PM @narendramodi to chair Virtual Global Investor Roundtable on 5th November  Top Pension and Sovereign Wealth Funds from across the world to participate in the Roundtable  Details:   @PMOIndia @PIB_India @MIB_India  (),en,"['p', 'pm', 'narendramodi', 'to', 'chair', 'virtual', 'global', 'investor', 'roundtable', 'on', 'th', 'november', 'top', 'pension', 'and', 'sovereign', 'wealth', 'funds', 'from', 'across', 'the', 'world', 'participate', 'in', 'details', 'pmoindia', 'pibindia', 'mibindia']","['pm', 'participate', 'india', 'nar', 'sovereign wealth funds', 'th november top pension', 'mib', 'roundtable details', 'across', 'pmo', 'world', 'odi', 'end', 'ram', 'pib', 'chair virtual global investor roundtable']",1,0.505196127,0.505196127,investment
43,4.55899E+18,,1.60441E+12,Jaano Uttarakhand,0,State,5,-1,"Calling all adventure lovers across the country to join us for a biking event in Uttarakhand. Participants will drive from Hon CM House in Dehradun to George Everest Estate, Mussoorie. 

For details, call 8191995014 or visit https://t.co/b92jkHIpx1
#uttarakhandtourism 
(Posted on Twitter by @UTDBofficial)",{https://pbs.twimg.com/media/El5mGSWVMAEoOsI.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Uttarakhand,,,"'/b92jkhipx1':39A '8191995014':34A 'a':12A 'across':5A 'adventure':3A 'all':2A 'biking':13A 'by':44A 'call':33A 'calling':1A 'cm':22A 'country':7A 'dehradun':25A 'details':32A 'drive':19A 'estate':29A 'event':14A 'everest':28A 'for':11A,31A 'from':20A 'george':27A 'hon':21A 'house':23A 'in':15A,24A 'jaano':46C 'join':9A 'lovers':4A 'mussoorie':30A 'on':42A 'or':35A 'participants':17A 'posted':41A 't.co':38A 't.co/b92jkhipx1':37A 'the':6A 'to':8A,26A 'twitter':43A 'us':10A 'utdbofficial':45A 'uttarakhand':16A,47C 'uttarakhandtourism':40A 'visit':36A 'will':18A"," Calling all adventure lovers across the country to join us for a biking event in Uttarakhand. Participants will drive from Hon CM House in Dehradun to George Everest Estate, Mussoorie.   For details, call 8191995014 or visit  #uttarakhandtourism  ()","Calling all adventure lovers across the country to join us for a biking event in Uttarakhand. Participants will drive from Hon CM House in Dehradun to George Everest Estate, Mussoorie.   For details, call 8191995014 or visit  #uttarakhandtourism  ()",en,"['c', 'calling', 'all', 'adventure', 'lovers', 'across', 'the', 'country', 'to', 'join', 'us', 'for', 'a', 'biking', 'event', 'in', 'uttarakhand', 'participants', 'will', 'drive', 'from', 'hon', 'cm', 'house', 'dehradun', 'george', 'everest', 'estate', 'mussoorie', 'details', 'call', 'or', 'visit', 'uttarakhandtourism']","['details call', 'join us', 'dehradun', 'calling', 'drive', 'adventure lovers across', 'uttar', 'tourism', 'george everest estate mussoorie', 'uttarakhand participants', 'visit', 'khan', 'biking event', 'hon cm house', 'country']",1,0.451160168,0.451160168,travel and transport
44,1.81248E+18,,1.60441E+12,Jaano Assam,0,State,18,-1,"➡️8th Meeting of the India-UAE High Level Joint Task Force on Investments

Details: https://t.co/Y3npbex380

@CimGOI @PIB_India @MIB_India 
(Posted on Twitter by @PIB_Guwahati)",{https://pbs.twimg.com/media/El5lirFVkAAQRME.png},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Assam,,,"'/y3npbex380':18A '8th':1A 'assam':31C 'by':27A 'cimgoi':19A 'details':15A 'force':12A 'guwahati':29A 'high':8A 'india':6A,21A,23A 'india-uae':5A 'investments':14A 'jaano':30C 'joint':10A 'level':9A 'meeting':2A 'mib':22A 'of':3A 'on':13A,25A 'pib':20A,28A 'posted':24A 't.co':17A 't.co/y3npbex380':16A 'task':11A 'the':4A 'twitter':26A 'uae':7A", ➡️8th Meeting of the India-UAE High Level Joint Task Force on Investments  Details:   @CimGOI @PIB_India @MIB_India  (),➡️8th Meeting of the India-UAE High Level Joint Task Force on Investments  Details:   @CimGOI @PIB_India @MIB_India  (),en,"['➡', '➡️th', 'meeting', 'of', 'the', 'indiauae', 'high', 'level', 'joint', 'task', 'force', 'on', 'investments', 'details', 'cimgoi', 'pibindia', 'mibindia']","['go', 'mib', 'cim', 'th meeting', 'investments details', 'pib']",1,0.344632667,0.344632667,investment
45,3.67702E+18,,1.60441E+12,Jaano Bihar,0,State,10,-1,"Waste collection started in Bhagalpur. 
#मास्क पहनकर बूथ चलेंगे, वोट करेंगे
#ElectionDepartmentBihar 
(Posted on Twitter by @CEOBihar)","{https://pbs.twimg.com/media/El5l5NyVMAEOAb2.jpg,https://pbs.twimg.com/media/El5l5-uVcAAq13c.jpg,https://pbs.twimg.com/media/El5l6PsU8AAKb9k.jpg}",NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Bihar,,,'bhagalpur':5A 'bihar':19C 'by':16A 'ceobihar':17A 'collection':2A 'electiondepartmentbihar':12A 'in':4A 'jaano':18C 'on':14A 'posted':13A 'started':3A 'twitter':15A 'waste':1A 'करेंगे':11A 'चलेंगे':9A 'पहनकर':7A 'बूथ':8A 'मास्क':6A 'वोट':10A," Waste collection started in Bhagalpur.  #मास्क पहनकर बूथ चलेंगे, वोट करेंगे #ElectionDepartmentBihar  ()","Waste collection started in Bhagalpur. # Booths will be worn wearing masks, will vote #ElectionDepartmentBihar ()",hi,"['w', 'waste', 'collection', 'started', 'in', 'bhagalpur', 'मास्क', 'पहनकर', 'बूथ', 'चलेंगे', 'वोट', 'करेंगे', 'electiondepartmentbihar']","['waste collection started', 'bihar', 'department', 'election', 'bhagalpur booths', 'worn wearing masks', 'vote']",1,0.504868656,0.504868656,government works
